time (cs),x_acceleration(g)
2584,-0.0014810138382017612
2586,-0.0012341781985014677
2588,-0.0014810138382017612
2590,-0.0012341781985014677
2592,-0.0
2594,0.05236831679940224
2596,-0.0014810138382017612
2598,-0.0014810138382017612
2600,-0.0019746851176023483
2602,-0.0007405069191008806
2604,-0.002221520757302642
2606,-0.0017278495943173766
2608,-0.0012341781985014677
2610,-0.0019746851176023483
2612,-0.0017278495943173766
2614,-0.0014810138382017612
2616,-0.0014810138382017612
2618,-0.0012341781985014677
2620,-0.0012341781985014677
2622,-0.0019746851176023483
2624,-0.0024683563970029354
2626,-0.0012341781985014677
2628,-0.0014810138382017612
2630,-0.002221520757302642
2632,-0.0014810138382017612
2634,-0.0014810138382017612
2636,-0.0012341781985014677
2638,-0.0017278495943173766
2640,-0.0014810138382017612
2642,-0.0012341781985014677
2644,-0.0012341781985014677
2646,-0.0019746851176023483
2648,-0.0017278495943173766
2650,-0.0014810138382017612
2652,-0.0014810138382017612
2654,-0.0019746851176023483
2656,-0.0014810138382017612
2658,-0.0024683563970029354
2660,-0.0017278495943173766
2662,-0.0012341781985014677
2664,-0.0012341781985014677
2666,-0.0014810138382017612
2668,-0.0017278495943173766
2670,-0.0012341781985014677
2672,-0.0007405069191008806
2674,-0.0019746851176023483
2676,-0.0017278495943173766
2678,-0.0014810138382017612
2680,-0.0007405069191008806
2682,-0.002221520757302642
2684,-0.0017278495943173766
2686,-0.0012341781985014677
2688,-0.0014810138382017612
2690,-0.0009873425588011742
2692,-0.0014810138382017612
2694,-0.0009873425588011742
2696,-0.0017278495943173766
2698,-0.0017278495943173766
2700,-0.0009873425588011742
2702,-0.002221520757302642
2704,-0.0014810138382017612
2706,-0.0012341781985014677
2708,-0.0012341781985014677
2710,-0.0019746851176023483
2712,-0.0017278495943173766
2714,-0.0012341781985014677
2716,-0.0017278495943173766
2718,-0.0019746851176023483
2720,-0.0014810138382017612
2722,-0.0014810138382017612
2724,-0.0009873425588011742
2726,-0.0017278495943173766
2728,-0.0017278495943173766
2730,-0.0014810138382017612
2732,-0.0014810138382017612
2734,-0.0019746851176023483
2736,-0.0014810138382017612
